SERVICE_NAME,SERVICE_CODE,DESCRIPTION,REQUESTED_DATETIME,ADDRESS,LATITUDE,LONGITUDE
"""Dead animal""","""DAPUB1""","""DEAD RACCOON""",2019-11-05T11:13:00Z,"""515 FOREST AV - GJ1633335932 """,39.1457180647228,-84.4967164571447
"""Dead animal""","""DAPUB1""","""DEAD SQUIRREL""",2019-11-04T07:05:00Z,"""205 KINSEY AV - GJ1571833626 """,39.1251117209756,-84.5045510664344
"""Dead animal""","""DAPUB1""","""DEAD SQUIRREL IN THE STREET""",2020-03-26T13:12:00Z,"""5440 LESTER RD - GJ2181239109 """,39.1729370691263,-84.4323309472104
"""Dead animal""","""DAPUB1""","""Request entered through the Web. Refer to Intake Questions for further description.""",2019-11-03T10:02:00Z,"""2515 LANGDON FARM RD, CINC - GJ2084440027""",39.1814582577458,-84.4432110928605
"""Dead animal""","""DAPUB1""","""DEAD ANIMAL IN THE STREET""",2019-11-05T11:20:00Z,"""2315 HARRISON AV - GJ0938834762 """,39.1368857260279,-84.577373162504
"""Dead animal""","""DAPUB1""","""Request entered through the Web. Refer to Intake Questions for further description.""",2019-11-01T14:47:00Z,"""370 TERRACE AV, CINC - GJ1409935480""",39.1422087368567,-84.5226720583553
"""Dead animal""","""DAPUB1""","""dead cat in front of driveway on curb """,2019-11-04T09:08:00Z,"""3730 BEEKMAN ST - GJ1168536800 """,39.1546746890381,-84.5501772501544
"""Dead animal""","""DAPUB1""","""Request entered through the Web. Refer to Intake Questions for further description.""",2020-08-11T07:22:00Z,"""545 S DELRIDGE DR, CINC - GJ0789230820""",39.101756049517,-84.5958628135495
"""Dead animal""","""DAPUB1""","""Request entered through the Web. Refer to Intake Questions for further description.""",2019-04-02T09:58:00Z,"""4134 JAMESTOWN ST, CINC - GJ0862931754""",39.1099920452207,-84.5870626675752
"""Dead animal""","""DAPUB1""","""DEAD DEER AT THE CURB""",2020-08-11T07:07:00Z,"""6698 ORLEANS CT - GJ1327243323 """,39.2130141942488,-84.5297771135839
"""Dead animal""","""DAPUB1""","""DEAD GOOSE IN THE STREET""",2019-04-02T16:17:00Z,"""6100 CENTER HILL AV - GJ1538641567 """,39.1966856027664,-84.5058698274696
"""Dead animal""","""DAPUB1""","""Request entered through the Web. Refer to Intake Questions for further description.""",2019-04-01T23:13:00Z,"""COLERAIN AV & ALLAIRE AV""",39.1967531502444,-84.5766481509027
"""Dead animal""","""DAPUB1""","""DEAD DEER""",2019-04-03T09:25:00Z,"""3324 RIVER RD - GJ0923829086 """,39.0858228090848,-84.5808554594464
"""Dead animal""","""DAPUB1""","""dead deer on the side of the road""",2019-04-02T09:07:00Z,"""2505 WESTWOOD NORTHERN BLVD - GJ0904535944 """,39.147606383594,-84.5809630484981
"""Dead animal""","""DAPUB1""","""Request entered through the Web. Refer to Intake Questions for further description.""",2019-04-02T19:59:00Z,"""2709 PRESTON ST, CINC - GJ1750234132""",39.1291891196102,-84.4836909179533
"""Dead animal""","""DAPUB1""","""DEAD DEER AT COVEDALE & RAPID RUN BY ST JOSEPH CEMETERY""",2019-11-04T09:58:00Z,"""4500 FOLEY RD - GJ0761831075 """,39.104114121887,-84.5989574100783
"""Dead animal""","""DAPUB1""","""Request entered through the Web. Refer to Intake Questions for further description.""",2019-04-02T08:09:00Z,"""687 STEINER AV, CINC - GJ1020529678""",39.0909202959961,-84.5694997465031
